Time Stamp,Wind Speed (m/s),2D Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Dew Point (TSM) (C),Absolute Pressure (TSM) (hPa),Air Density (TSM) (kg/m^3),Pitch Angle (Degrees),Roll Angle (Degrees),Magnetic Heading (Degrees),True Heading (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2024_3_27_11_34_7,1.43,1.43,159,-0.52,1.34,0.0,25.78,100.0,28.88,1015.46,1.1642625,8.4,-4.8,334,334,34.32,65.8,34.59,1015.29
2024_3_27_11_34_7,1.78,1.77,148,-0.95,1.49,0.22,25.49,100.0,28.89,1015.42,1.1644343,7.4,-4.9,334,334,34.37,65.8,34.59,1015.29
2024_3_27_11_34_7,1.78,1.78,135,-1.26,1.25,-0.07,25.34,100.0,28.87,1015.43,1.1650738,9.0,-4.9,334,334,34.4,65.8,34.56,1015.11
2024_3_27_11_34_7,1.74,1.72,133,-1.26,1.17,-0.2,25.45,100.0,28.84,1015.46,1.1646768,9.0,-5.0,332,332,34.43,65.78,34.59,1015.29
2024_3_27_11_34_7,1.95,1.94,146,-1.08,1.61,-0.17,25.58,100.0,28.87,1015.46,1.1641624,8.7,-5.1,332,332,34.45,65.77,34.56,1015.23
2024_3_27_11_34_7,1.45,1.45,141,-0.92,1.12,-0.06,25.48,100.0,28.86,1015.43,1.1645197,8.3,-5.1,333,333,34.46,65.77,34.59,1015.17
2024_3_27_11_34_7,2.53,2.12,223,1.45,1.55,1.38,27.4,100.0,28.89,1015.45,1.1570593,7.6,-5.2,333,333,34.47,65.75,34.59,1015.4
2024_3_27_11_34_7,2.1,1.99,131,-1.51,1.31,-0.67,25.46,100.0,28.89,1015.38,1.1644965,8.2,-5.2,333,333,34.48,65.74,34.59,1015.29
2024_3_27_11_34_7,1.61,1.57,144,-0.92,1.27,-0.35,25.24,100.0,28.87,1015.44,1.1654592,8.8,-5.3,333,333,34.49,65.74,34.56,1015.11
2024_3_27_11_34_8,1.27,1.27,166,-0.31,1.23,-0.09,25.39,100.0,28.88,1015.44,1.1648837,8.7,-5.3,333,333,34.49,65.72,34.59,1015.17
2024_3_27_11_34_8,0.95,0.91,191,0.17,0.9,-0.26,25.47,100.0,28.88,1015.39,1.1644865,8.9,-5.4,332,332,34.5,65.7,34.59,1015.4
2024_3_27_11_34_8,1.05,1.05,188,0.14,1.04,0.0,25.38,100.0,28.91,1015.44,1.1648577,7.7,-5.4,334,334,34.5,65.71,34.59,1015.29
2024_3_27_11_34_8,0.54,0.51,189,0.08,0.51,-0.16,25.65,100.0,28.87,1015.42,1.1638291,7.4,-5.3,334,334,34.5,65.71,34.56,1015.11
2024_3_27_11_34_8,0.5,0.48,186,0.05,0.48,-0.14,25.77,100.0,28.87,1015.44,1.1634072,8.1,-5.5,333,333,34.51,65.69,34.56,1015.23
2024_3_27_11_34_8,1.38,1.3,138,-0.87,0.96,-0.47,25.87,100.0,28.88,1015.39,1.1629326,8.8,-5.4,333,333,34.51,65.69,34.59,1015.4
2024_3_27_11_34_8,1.01,0.99,140,-0.64,0.75,-0.2,25.8,100.0,28.9,1015.42,1.163241,9.5,-5.5,332,332,34.51,65.69,34.56,1015.23
2024_3_27_11_34_8,1.16,1.16,111,-1.08,0.41,0.07,25.53,100.0,28.87,1015.44,1.1643317,8.4,-5.4,333,333,34.51,65.68,34.56,1015.34
2024_3_27_11_34_8,1.26,1.25,132,-0.93,0.83,0.12,25.51,100.0,28.88,1015.4,1.164345,7.8,-5.2,333,333,34.51,65.65,34.59,1015.29
2024_3_27_11_34_8,1.13,1.12,130,-0.86,0.72,-0.09,25.6,100.0,28.91,1015.43,1.1639911,7.6,-5.3,332,332,34.51,65.65,34.59,1015.17
2024_3_27_11_34_9,1.03,1.03,118,-0.91,0.48,0.05,25.58,100.0,28.9,1015.46,1.1641073,8.7,-5.1,333,333,34.52,65.64,34.59,1015.17
2024_3_27_11_34_9,1.38,1.38,244,1.24,0.6,-0.11,27.03,100.0,28.89,1015.42,1.1584711,9.2,-5.2,333,333,34.52,65.66,34.6,1015.22
2024_3_27_11_34_9,0.99,0.86,132,-0.64,0.58,-0.49,25.72,100.0,28.88,1015.42,1.1635509,8.8,-5.0,333,333,34.53,65.65,34.6,1015.22
2024_3_27_11_34_9,0.63,0.62,152,-0.29,0.55,-0.12,26.24,100.0,28.87,1015.43,1.1615616,8.9,-5.1,333,333,34.53,65.65,34.6,1015.22
