Time Stamp,Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Absolute Pressure (TSM) (hPa),Pitch Angle (Degrees),Roll Angle (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2025_10_9_13_12_26,1.16,133,-0.82,0.77,0.29,30.77,43.78,1000.52,-0.1,-0.2,38.15,48.59,42.3,998.64
2025_10_9_13_12_26,1.3,134,-0.92,0.89,0.24,30.61,43.8,1000.51,-0.1,-0.3,38.15,48.57,42.3,998.64
2025_10_9_13_12_27,1.31,139,-0.83,0.97,0.29,30.49,43.8,1000.51,-0.1,-0.3,38.16,48.6,42.32,998.68
2025_10_9_13_12_27,1.29,136,-0.88,0.91,0.23,30.51,43.81,1000.51,-0.1,-0.3,38.17,48.59,42.32,998.68
2025_10_9_13_12_27,1.3,131,-0.97,0.85,0.17,30.55,43.79,1000.51,-0.1,-0.3,38.18,48.58,42.32,998.68
2025_10_9_13_12_27,1.19,132,-0.88,0.8,0.08,30.57,43.77,1000.52,-0.1,-0.1,38.18,48.56,42.32,998.68
2025_10_9_13_12_27,1.37,129,-1.06,0.87,0.1,31.22,43.82,1000.51,-0.1,-0.5,38.19,48.65,42.32,998.68
2025_10_9_13_12_28,1.36,134,-0.96,0.94,0.18,31.06,43.79,1000.51,-0.2,-0.2,38.19,48.63,42.34,998.72
2025_10_9_13_12_28,1.28,135,-0.9,0.9,0.17,30.9,43.77,1000.52,0,-0.6,38.2,48.63,42.34,998.72
2025_10_9_13_12_28,1.37,138,-0.9,1.01,0.24,31.32,43.71,1000.52,-0.2,0.3,38.21,48.62,42.34,998.72
2025_10_9_13_12_28,1.33,139,-0.86,0.97,0.29,31.78,43.75,1000.51,-0.3,1,38.21,48.58,42.34,998.6
2025_10_9_13_12_28,1.37,133,-0.97,0.91,0.31,31.9,43.75,1000.52,0.1,-0.9,38.2,48.59,42.35,998.76
2025_10_9_13_12_29,1.5,140,-0.93,1.11,0.39,31.69,43.7,1000.52,-0.2,-0.3,38.18,48.57,42.35,998.76
2025_10_9_13_12_29,1.47,130,-1.11,0.93,0.26,30.78,43.7,1000.51,-0.2,0,38.23,48.61,42.35,998.64
2025_10_9_13_12_29,1.48,133,-1.06,1.01,0.21,30.46,43.71,1000.51,-0.2,-0.1,38.22,48.61,42.35,998.64
2025_10_9_13_12_29,1.59,137,-1.07,1.15,0.22,29.87,43.67,1000.51,-0.1,-0.4,38.21,48.56,42.35,998.64
2025_10_9_13_12_29,1.61,138,-1.08,1.18,-0.13,29.52,43.66,1000.51,-0.2,0.1,38.2,48.61,42.37,998.68
